仓库,物料,日期,出货量
南京仓,西米,1月1日,196
南京仓,西米,1月2日,149
南京仓,西米,1月3日,127
南京仓,西米,1月4日,144
南京仓,西米,1月5日,130
南京仓,西米,1月6日,135
南京仓,西米,1月7日,146
南京仓,西米,1月8日,199
南京仓,西米,1月9日,157
南京仓,西米,1月10日,184
南京仓,西米,1月11日,191
南京仓,西米,1月12日,122
南京仓,西米,1月13日,145
南京仓,西米,1月14日,101
南京仓,西米,1月15日,167
南京仓,西米,1月16日,126
南京仓,西米,1月17日,139
南京仓,西米,1月18日,167
南京仓,西米,1月19日,197
南京仓,西米,1月20日,163
南京仓,西米,1月21日,101
南京仓,西米,1月22日,187
南京仓,西米,1月23日,122
南京仓,西米,1月24日,132
南京仓,西米,1月25日,136
南京仓,西米,1月26日,125
南京仓,西米,1月27日,128
南京仓,西米,1月28日,173
南京仓,西米,1月29日,101
南京仓,西米,1月30日,175
南京仓,西米,1月31日,108
南京仓,西米,2月1日,162
南京仓,西米,2月2日,154
南京仓,西米,2月3日,187
南京仓,西米,2月4日,141
南京仓,西米,2月5日,171
南京仓,西米,2月6日,175
南京仓,西米,2月7日,178
南京仓,西米,2月8日,128
南京仓,西米,2月9日,102
南京仓,西米,2月10日,105
南京仓,西米,2月11日,139
南京仓,西米,2月12日,150
南京仓,西米,2月13日,129
南京仓,西米,2月14日,190
南京仓,西米,2月15日,146
南京仓,西米,2月16日,138
南京仓,西米,2月17日,104
南京仓,西米,2月18日,154
南京仓,西米,2月19日,197
南京仓,西米,2月20日,170
南京仓,西米,2月21日,166
南京仓,西米,2月22日,126
南京仓,西米,2月23日,139
南京仓,西米,2月24日,136
南京仓,西米,2月25日,184
南京仓,西米,2月26日,181
南京仓,西米,2月27日,181
南京仓,西米,2月28日,178
南京仓,西米,3月1日,102
南京仓,麻薯,1月1日,376
南京仓,麻薯,1月2日,343
南京仓,麻薯,1月3日,473
南京仓,麻薯,1月4日,493
南京仓,麻薯,1月5日,348
南京仓,麻薯,1月6日,331
南京仓,麻薯,1月7日,437
南京仓,麻薯,1月8日,490
南京仓,麻薯,1月9日,418
南京仓,麻薯,1月10日,320
南京仓,麻薯,1月11日,422
南京仓,麻薯,1月12日,353
南京仓,麻薯,1月13日,344
南京仓,麻薯,1月14日,442
南京仓,麻薯,1月15日,345
南京仓,麻薯,1月16日,498
南京仓,麻薯,1月17日,324
南京仓,麻薯,1月18日,303
南京仓,麻薯,1月19日,301
南京仓,麻薯,1月20日,354
南京仓,麻薯,1月21日,417
南京仓,麻薯,1月22日,490
南京仓,麻薯,1月23日,412
南京仓,麻薯,1月24日,321
南京仓,麻薯,1月25日,399
南京仓,麻薯,1月26日,479
南京仓,麻薯,1月27日,387
南京仓,麻薯,1月28日,491
南京仓,麻薯,1月29日,364
南京仓,麻薯,1月30日,456
南京仓,麻薯,1月31日,448
南京仓,麻薯,2月1日,470
南京仓,麻薯,2月2日,423
南京仓,麻薯,2月3日,322
南京仓,麻薯,2月4日,439
南京仓,麻薯,2月5日,381
南京仓,麻薯,2月6日,410
南京仓,麻薯,2月7日,452
南京仓,麻薯,2月8日,446
南京仓,麻薯,2月9日,369
南京仓,麻薯,2月10日,339
南京仓,麻薯,2月11日,306
南京仓,麻薯,2月12日,479
南京仓,麻薯,2月13日,333
南京仓,麻薯,2月14日,440
南京仓,麻薯,2月15日,324
南京仓,麻薯,2月16日,462
南京仓,麻薯,2月17日,343
南京仓,麻薯,2月18日,479
南京仓,麻薯,2月19日,389
南京仓,麻薯,2月20日,421
南京仓,麻薯,2月21日,399
南京仓,麻薯,2月22日,384
南京仓,麻薯,2月23日,456
南京仓,麻薯,2月24日,465
南京仓,麻薯,2月25日,484
南京仓,麻薯,2月26日,472
南京仓,麻薯,2月27日,328
南京仓,麻薯,2月28日,430
南京仓,麻薯,3月1日,335
北京仓,西米,1月1日,152
北京仓,西米,1月2日,250
北京仓,西米,1月3日,297
北京仓,西米,1月4日,164
北京仓,西米,1月5日,262
北京仓,西米,1月6日,246
北京仓,西米,1月7日,235
北京仓,西米,1月8日,172
北京仓,西米,1月9日,276
北京仓,西米,1月10日,172
北京仓,西米,1月11日,220
北京仓,西米,1月12日,152
北京仓,西米,1月13日,206
北京仓,西米,1月14日,221
北京仓,西米,1月15日,230
北京仓,西米,1月16日,199
北京仓,西米,1月17日,152
北京仓,西米,1月18日,157
北京仓,西米,1月19日,294
北京仓,西米,1月20日,199
北京仓,西米,1月21日,291
北京仓,西米,1月22日,181
北京仓,西米,1月23日,205
北京仓,西米,1月24日,267
北京仓,西米,1月25日,273
北京仓,西米,1月26日,170
北京仓,西米,1月27日,161
北京仓,西米,1月28日,210
北京仓,西米,1月29日,219
北京仓,西米,1月30日,283
北京仓,西米,1月31日,230
北京仓,西米,2月1日,230
北京仓,西米,2月2日,196
北京仓,西米,2月3日,235
北京仓,西米,2月4日,215
北京仓,西米,2月5日,286
北京仓,西米,2月6日,281
北京仓,西米,2月7日,258
北京仓,西米,2月8日,222
北京仓,西米,2月9日,163
北京仓,西米,2月10日,296
北京仓,西米,2月11日,218
北京仓,西米,2月12日,183
北京仓,西米,2月13日,211
北京仓,西米,2月14日,229
北京仓,西米,2月15日,185
北京仓,西米,2月16日,234
北京仓,西米,2月17日,255
北京仓,西米,2月18日,179
北京仓,西米,2月19日,286
北京仓,西米,2月20日,258
北京仓,西米,2月21日,210
北京仓,西米,2月22日,297
北京仓,西米,2月23日,297
北京仓,西米,2月24日,208
北京仓,西米,2月25日,237
北京仓,西米,2月26日,182
北京仓,西米,2月27日,198
北京仓,西米,2月28日,216
北京仓,西米,3月1日,191
北京仓,麻薯,1月1日,440
北京仓,麻薯,1月2日,347
北京仓,麻薯,1月3日,407
北京仓,麻薯,1月4日,333
北京仓,麻薯,1月5日,370
北京仓,麻薯,1月6日,315
北京仓,麻薯,1月7日,428
北京仓,麻薯,1月8日,449
北京仓,麻薯,1月9日,417
北京仓,麻薯,1月10日,330
北京仓,麻薯,1月11日,305
北京仓,麻薯,1月12日,353
北京仓,麻薯,1月13日,311
北京仓,麻薯,1月14日,439
北京仓,麻薯,1月15日,376
北京仓,麻薯,1月16日,336
北京仓,麻薯,1月17日,430
北京仓,麻薯,1月18日,400
北京仓,麻薯,1月19日,329
北京仓,麻薯,1月20日,398
北京仓,麻薯,1月21日,436
北京仓,麻薯,1月22日,418
北京仓,麻薯,1月23日,336
北京仓,麻薯,1月24日,410
北京仓,麻薯,1月25日,448
北京仓,麻薯,1月26日,391
北京仓,麻薯,1月27日,400
北京仓,麻薯,1月28日,362
北京仓,麻薯,1月29日,371
北京仓,麻薯,1月30日,416
北京仓,麻薯,1月31日,446
北京仓,麻薯,2月1日,372
北京仓,麻薯,2月2日,308
北京仓,麻薯,2月3日,437
北京仓,麻薯,2月4日,327
北京仓,麻薯,2月5日,450
北京仓,麻薯,2月6日,439
北京仓,麻薯,2月7日,320
北京仓,麻薯,2月8日,445
北京仓,麻薯,2月9日,371
北京仓,麻薯,2月10日,449
北京仓,麻薯,2月11日,402
北京仓,麻薯,2月12日,332
北京仓,麻薯,2月13日,421
北京仓,麻薯,2月14日,337
北京仓,麻薯,2月15日,398
北京仓,麻薯,2月16日,386
北京仓,麻薯,2月17日,314
北京仓,麻薯,2月18日,401
北京仓,麻薯,2月19日,321
北京仓,麻薯,2月20日,339
北京仓,麻薯,2月21日,422
北京仓,麻薯,2月22日,319
北京仓,麻薯,2月23日,332
北京仓,麻薯,2月24日,386
北京仓,麻薯,2月25日,399
北京仓,麻薯,2月26日,327
北京仓,麻薯,2月27日,439
北京仓,麻薯,2月28日,376
北京仓,麻薯,3月1日,431
